No.;Time;Source;Destination;Protocol;Length;Info;time 2;Time;delay;delay2;delay 1;jitter
42;19,866928;192.168.43.13;40.90.23.208;TLSv1.2;92;Application Data;19,867026;19,866928;9,8E-05;0,022011;-0,021913;0,043924
43;19,867026;192.168.43.13;40.90.23.208;TCP;2774;49879  >  443 [ACK] Seq=697 Ack=3895 Win=65160 Len=2720 [TCP segment of a reassembled PDU];19,889037;19,867026;0,022011;0,014635;0,007376;0,007259
44;19,889037;40.90.23.208;192.168.43.13;TCP;54;443  >  49879 [ACK] Seq=3895 Ack=413 Win=4252 Len=0;19,903672;19,889037;0,014635;0,00396;0,010675;-0,006715
45;19,903672;13.74.179.117;192.168.43.13;TLSv1.2;92;Application Data;19,907632;19,903672;0,00396;5,5E-05;0,003905;-0,00385
46;19,907632;40.90.23.208;192.168.43.13;TCP;54;443  >  49879 [ACK] Seq=3895 Ack=659 Win=4498 Len=0;19,907687;19,907632;5,5E-05;0,002498;-0,002443;0,004941
47;19,907687;192.168.43.13;40.90.23.208;TCP;1414;49879  >  443 [ACK] Seq=3417 Ack=3895 Win=65160 Len=1360 [TCP segment of a reassembled PDU];19,910185;19,907687;0,002498;6,6E-05;0,002432;-0,002366
48;19,910185;13.74.179.117;192.168.43.13;TLSv1.2;376;Application Data;19,910251;19,910185;6,6E-05;0,000165;-9,9E-05;0,000264
49;19,910251;192.168.43.13;13.74.179.117;TCP;54;49878  >  443 [ACK] Seq=751 Ack=2848 Win=66048 Len=0;19,910416;19,910251;0,000165;0,003458;-0,003293;0,006751
50;19,910416;40.90.23.208;192.168.43.13;TCP;54;443  >  49879 [ACK] Seq=3895 Ack=697 Win=4536 Len=0;19,913874;19,910416;0,003458;0,019489;-0,016031;0,03552
51;19,913874;192.168.43.13;13.74.179.117;TCP;54;49878  >  443 [FIN, ACK] Seq=751 Ack=2848 Win=66048 Len=0;19,933363;19,913874;0,019489;5,2E-05;0,019437;-0,019385
52;19,933363;40.90.23.208;192.168.43.13;TCP;54;443  >  49879 [ACK] Seq=3895 Ack=3417 Win=7256 Len=0;19,933415;19,933363;5,2E-05;0,040291;-0,040239;0,08053
53;19,933415;192.168.43.13;40.90.23.208;TLSv1.2;673;Application Data;19,973706;19,933415;0,040291;0,003351;0,03694;-0,033589
54;19,973706;40.90.23.208;192.168.43.13;TCP;54;443  >  49879 [ACK] Seq=3895 Ack=5396 Win=9235 Len=0;19,977057;19,973706;0,003351;0,195924;-0,192573;0,388497
55;19,977057;13.74.179.117;192.168.43.13;TCP;54;443  >  49878 [ACK] Seq=2848 Ack=752 Win=14350 Len=0;20,172981;19,977057;0,195924;0,000126;0,195798;-0,195672
56;20,172981;40.90.23.208;192.168.43.13;TLSv1.2;92;Application Data;20,173107;20,172981;0,000126;2,3E-05;0,000103;-8E-05
57;20,173107;13.74.179.117;192.168.43.13;TCP;54;443  >  49878 [FIN, ACK] Seq=2848 Ack=752 Win=14350 Len=0;20,17313;20,173107;2,3E-05;0,047468;-0,047445;0,094913
58;20,17313;192.168.43.13;13.74.179.117;TCP;54;49878  >  443 [ACK] Seq=752 Ack=2849 Win=66048 Len=0;20,220598;20,17313;0,047468;0,012615;0,034853;-0,022238
59;20,220598;192.168.43.13;40.90.23.208;TCP;54;49879  >  443 [ACK] Seq=5396 Ack=3933 Win=65122 Len=0;20,233213;20,220598;0,012615;0,004051;0,008564;-0,004513
60;20,233213;40.90.23.208;192.168.43.13;TLSv1.2;206;Application Data, Application Data, Application Data;20,237264;20,233213;0,004051;0;0,004051;-0,004051
61;20,237264;40.90.23.208;192.168.43.13;TCP;1334;443  >  49879 [ACK] Seq=4085 Ack=5396 Win=9235 Len=1280 [TCP segment of a reassembled PDU];20,237264;20,237264;0;4,6E-05;-4,6E-05;9,2E-05
62;20,237264;40.90.23.208;192.168.43.13;TCP;1334;[TCP Previous segment not captured] 443  >  49879 [ACK] Seq=6645 Ack=5396 Win=9235 Len=1280 [TCP segment of a reassembled PDU];20,23731;20,237264;4,6E-05;0,000205;-0,000159;0,000364
63;20,23731;192.168.43.13;40.90.23.208;TCP;66;49879  >  443 [ACK] Seq=5396 Ack=5365 Win=65280 Len=0 SLE=6645 SRE=7925;20,237515;20,23731;0,000205;2,3E-05;0,000182;-0,000159
64;20,237515;40.90.23.208;192.168.43.13;TCP;1334;[TCP Out-Of-Order] 443  >  49879 [ACK] Seq=5365 Ack=5396 Win=9235 Len=1280 [TCP segment of a reassembled PDU];20,237538;20,237515;2,3E-05;0,000193;-0,00017;0,000363
65;20,237538;192.168.43.13;40.90.23.208;TCP;54;49879  >  443 [ACK] Seq=5396 Ack=7925 Win=65280 Len=0;20,237731;20,237538;0,000193;0,001525;-0,001332;0,002857
66;20,237731;40.90.23.208;192.168.43.13;TCP;1334;443  >  49879 [ACK] Seq=7925 Ack=5396 Win=9235 Len=1280 [TCP segment of a reassembled PDU];20,239256;20,237731;0,001525;3,4E-05;0,001491;-0,001457
67;20,239256;40.90.23.208;192.168.43.13;TCP;1334;443  >  49879 [ACK] Seq=9205 Ack=5396 Win=9235 Len=1280 [TCP segment of a reassembled PDU];20,23929;20,239256;3,4E-05;0,01012;-0,010086;0,020206
68;20,23929;192.168.43.13;40.90.23.208;TCP;54;49879  >  443 [ACK] Seq=5396 Ack=10485 Win=65280 Len=0;20,24941;20,23929;0,01012;0;0,01012;-0,01012
69;20,24941;40.90.23.208;192.168.43.13;TCP;1334;[TCP Previous segment not captured] 443  >  49879 [ACK] Seq=13045 Ack=5396 Win=9235 Len=1280 [TCP segment of a reassembled PDU];20,24941;20,24941;0;7,4E-05;-7,4E-05;0,000148
70;20,24941;40.90.23.208;192.168.43.13;TCP;1334;[TCP Out-Of-Order] 443  >  49879 [ACK] Seq=10485 Ack=5396 Win=9235 Len=1280 [TCP segment of a reassembled PDU];20,249484;20,24941;7,4E-05;9,7E-05;-2,3E-05;0,00012
